original_name,original_code,color
"****",****,#44aae6
"Citrus and Subtropical - No Subclass",C,#cb1469
"Eucalyptus",C10,#410cc9
"Dates",C4,#43ce34
"Avocados",C5,#86cb3c
"Olives",C6,#d84d72
"Subtropical Fruits Misc.",C7,#5eda3f
"Kiwis",C8,#d18274
"Apples",D1,#d4886f
"Deciduous - Misc.",D10,#9f54d1
"Almonds",D12,#dfad84
"Walnuts",D13,#665aea
"Pistachios",D14,#b063d1
"Pomegranates",D15,#cf8429
"Pecans",D17,#0fe769
"Apricots",D2,#1546e7
"Cherries",D3,#31e4a2
"Peaches and Nectarines",D5,#b5db77
"Pears",D6,#ba84ef
"Plums",D7,#ebe41d
"Prunes",D8,#6649e9
"Cotton",F1,#6ee185
"Beans (dry)",F10,#e4777e
"Field Misc.",F11,#dcea13
"Sunflowers",F12,#86d3ec
"Corn, Sorghum or Sudan (grouped for remote sensing classification only)",F16,#0e55e3
"Safflower",F2,#26cd5b
"Sugar beets",F5,#b5d32f
"Wheat",G2,#7ad3cf
"Grain and Hay - Misc.",G6,#69cdbe
"Idle - Land not cropped in current or prior year, but within last 3 yrs.",I1,#1e38e1
"Idle - Long Term - land consistently idle for four or more years",I4,#6aade8
"Alfalfa and alfalfa mixtures",P1,#e1b96a
"Pasture - Mixed",P3,#7a3cde
"Pasture - Native Improved",P4,#de3853
"Pasture - Induced High Water",P5,#ed2d26
"Pasture - Miscellaneous Grasses",P6,#61eb26
"Pasture - Turf Farms",P7,#5b99e9
"Rice",R1,#c872b5
"Rice - Wild",R2,#f035a2
"Onions and Garlic",T10,#4eec5e
"Potatoes",T12,#e7da85
"Sweet Potatoes",T13,#ef6ec6
"Flowers, nursery and Christmas Tree Farms",T16,#6264e5
"Truck Crops - Misc.",T18,#e95ad8
"Bushberries",T19,#96d26c
"Strawberries",T20,#d116e6
"Peppers (Chili, Bell, etc.)",T21,#73cbda
"Greenhouse",T27,#ab1ccf
"Lettuce or Leafy Greens (grouped for remote sensing classification only)",T30,#47d047
"Tomatoes (all)",T32,#de4980
"Cole crops (mixture of T22-T25)",T4,#31db89
"Carrots",T6,#cb19c8
"Melons, Squash, and Cucumbers",T9,#bdd879
"Vineyards - No Subclass",V,#ebcc65
"Not cropped, or unclassified at the time of remote-sensing analysis. Idle status not determined",X,#4debc1
"Young Perennial (grouped for remote sensing or when CLASS C, D or V is not determined)",YP,#ef8c57
